patch_title,url,raw_text,label
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Designing the Sea Layout,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,"Boarding, Moving, and Using a Ship",General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Islands and Points of Interest at Sea,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,New Training Methods for Existing Skills,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Island Content and Resources,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,There is now a Sailing skill in the game that can be assigned XP.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,All interfaces such as the skill interfaces and lamps have been updated.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,All Max Cape functionality has been re-worked to account for Sailing's introduction.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Sailing has a skill guide and level up message system.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Players can generate ships and own ships from a collection of presets.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Players can board other players ships.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Players who own the ship are considered the captain and automatically have navigator permissions.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Players can assign another player the navigator role.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Players can trim the sails of a ship to earn Sailing XP.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Players can experience different ship speeds based on various conditions at sea.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Advanced tracking and userflow to allow players to more seamlessly board and alight from a ship.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,"In-depth design for primary gameplay, such that it can be implemented.",General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Designed a functional starting Sea Map.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Created structure to allow content at sea to be designed.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Design the player journey from level 1-99.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,"Design ship customisation systems, both functional and cosmetic.",General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Handle logging in and out at sea as the captain.,XP/Progression
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Handle logging in and out at sea as a crewmate.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Playtesting the content so far and enacting feedback.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Implementing a turning radius on ships.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Mark the players location at sea when the World Map is open.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Have ships appear on the Minimap.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Look into ship collision between land and other ships.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Add functionality to interact with things that are not on the ship.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Implement automatic and manual clean-up of owned boats.,General Change
Sailing - Winter Summit Update,https://secure.runescape.com/m=news/sailing---winter-summit-update?oldschool=1,Miscellaneous bug fixes.,Bug Fix
While Guthix Sleeps - Overview,https://secure.runescape.com/m=news/while-guthix-sleeps---overview?oldschool=1,Defender of Varrock,General Change
While Guthix Sleeps - Overview,https://secure.runescape.com/m=news/while-guthix-sleeps---overview?oldschool=1,The Path of Glouphrie,General Change
While Guthix Sleeps - Overview,https://secure.runescape.com/m=news/while-guthix-sleeps---overview?oldschool=1,The Hand in the Sand,General Change
While Guthix Sleeps - Overview,https://secure.runescape.com/m=news/while-guthix-sleeps---overview?oldschool=1,Temple of the Eye,General Change
While Guthix Sleeps - Overview,https://secure.runescape.com/m=news/while-guthix-sleeps---overview?oldschool=1,Ability to enter the Warriors' Guild,General Change
While Guthix Sleeps - Overview,https://secure.runescape.com/m=news/while-guthix-sleeps---overview?oldschool=1,"80,000 Thieving XP",XP/Progression
